value,time,y_hat,y_hat_upper,y_hat_lower
38.21394348144531,2019-06-21 09:31:00,38.64567956642428,,
38.18474197387695,2019-06-21 09:32:00,38.5974041773801,,
38.42633056640625,2019-06-21 09:33:00,38.25519659156183,,
38.57954025268555,2019-06-21 09:34:00,38.26821869939153,,
38.41022872924805,2019-06-21 09:35:00,38.33067262782185,41.657382406950816,34.61901321963117
38.465782165527344,2019-06-21 09:36:00,38.84636741565037,41.5828901654255,34.3240647977852
38.51052474975586,2019-06-21 09:37:00,38.922504579807054,41.59932885768728,34.46846514822423
38.397193908691406,2019-06-21 09:38:00,38.19137439349075,41.6591270119167,34.34721500551444
38.29918670654297,2019-06-21 09:39:00,38.26342640034186,41.62470971138311,34.15501046335851
37.97394561767578,2019-06-21 09:40:00,38.957290950024095,41.6367232561204,34.01721137219407
38.14842224121094,2019-06-21 09:41:00,39.13060660105906,41.70431818460662,33.9779796134793
38.28166961669922,2019-06-21 09:42:00,39.274761386890155,41.6508057913413,33.967084513022414
38.34013366699219,2019-06-21 09:43:00,38.528137390794,41.6303712254102,34.126637755154334
38.29526138305664,2019-06-21 09:44:00,38.899391893524374,41.62654770894197,34.3597623567244
38.50237274169922,2019-06-21 09:45:00,39.474550671158795,41.70355917531491,34.87452304750214
38.61236572265625,2019-06-21 09:46:00,39.24913896521367,41.65689034512943,35.22556211856537
38.17430114746094,2019-06-21 09:47:00,38.013347864023395,41.72968924427241,35.12058548673699
38.07174682617188,2019-06-21 09:48:00,37.227103052343736,41.67967412059367,34.83570597147282
38.45500564575195,2019-06-21 09:49:00,39.188019760113264,41.72609869242893,34.64060861728538
38.13418197631836,2019-06-21 09:50:00,38.04987891200199,41.719995616180505,34.563463868553086
38.09123229980469,2019-06-21 09:51:00,39.02403696622813,41.67616183586264,34.26635401282131
38.4171257019043,2019-06-21 09:52:00,37.495330658579775,41.643554788719186,34.440324506129244
38.57667922973633,2019-06-21 09:53:00,38.208566538508265,41.6389272511916,34.638124966715864
38.7939338684082,2019-06-21 09:54:00,38.82197149398451,41.588875867508804,35.15000466489672
38.76047134399414,2019-06-21 09:55:00,39.62537130059848,41.5571016945546,35.07867998523011
38.83009338378906,2019-06-21 09:56:00,39.500416346201085,41.6089673537845,35.24554165071836
38.94523620605469,2019-06-21 09:57:00,39.08656030343877,41.57691458953332,35.40888378533789
38.89629364013672,2019-06-21 09:58:00,38.62231153949156,41.631147335356665,35.242558091113295
39.40354919433594,2019-06-21 09:59:00,39.760442388226885,41.65804926102175,35.10545765947539
39.382774353027344,2019-06-21 10:00:00,39.841460433917604,41.6722348912593,35.01751890053892
39.69944763183594,2019-06-21 10:01:00,40.07216819554154,41.7056352840674,35.0740576323921
39.532901763916016,2019-06-21 10:02:00,39.85570480192758,41.728167854144786,35.28796196455231
39.777320861816406,2019-06-21 10:03:00,39.98090346400063,41.79293712185163,35.809284771832814
39.4597053527832,2019-06-21 10:04:00,39.21689696503454,41.750827264545066,35.60806333347846
39.655738830566406,2019-06-21 10:05:00,40.44699578993616,41.69098554102021,35.95873325158967
39.35398864746094,2019-06-21 10:06:00,39.87543365783602,41.6183832244035,35.9991576485291
39.94041442871094,2019-06-21 10:07:00,39.234388332471234,41.659397955186435,35.861807484031104
39.86715698242188,2019-06-21 10:08:00,40.226985997808896,41.6267994119349,35.78658604689208
40.26158905029297,2019-06-21 10:09:00,39.36119455645911,41.81434898167721,35.97864346489284
39.9566764831543,2019-06-21 10:11:00,39.82857321591295,41.900046961351144,35.78284989958832
39.78065490722656,2019-06-21 10:12:00,39.769770254597375,41.9857737499568,35.79096622368822
39.99215316772461,2019-06-21 10:13:00,39.30627141961478,42.065132419105296,35.78603969114368
39.65360641479492,2019-06-21 10:14:00,40.475160177900925,41.99717391992847,35.45828608822226
40.00860595703125,2019-06-21 10:15:00,40.27345322777919,41.9061453873875,35.29928732633142
39.51759719848633,2019-06-21 10:16:00,39.695527769589305,41.884810191674404,35.46126492400048
40.03913879394531,2019-06-21 10:17:00,39.89467193735829,41.95055252724602,35.813845719165116
40.64294052124024,2019-06-21 10:18:00,40.43599572593617,42.058698952189495,35.84645956363421
40.096378326416016,2019-06-21 10:19:00,39.38973941557298,42.223450433853074,36.27932827156692
39.15875244140625,2019-06-21 10:20:00,39.55537976899699,42.18371101800311,36.5484739276591
38.76745223999024,2019-06-21 10:21:00,38.89283487660456,42.186030640812156,36.105801549988016
38.9116325378418,2019-06-21 10:22:00,38.403907306084484,42.115546077846155,35.58427079461406
39.69487380981445,2019-06-21 10:23:00,40.48161103055085,41.9542028119718,35.720995104174406
39.40852355957031,2019-06-21 10:24:00,38.632669442449696,41.81934793124328,35.47436014496214
39.30093383789063,2019-06-21 10:25:00,39.74693648352275,41.7856299100107,35.221463485472405
39.34961700439453,2019-06-21 10:26:00,38.46188751106924,41.75931478324388,35.48081133820455
39.8419303894043,2019-06-21 10:27:00,40.480897440830866,41.784705961052076,35.71071200130728
39.49523162841797,2019-06-21 10:28:00,40.126146118595955,41.68018016520044,35.37057513450475
39.53997421264648,2019-06-21 10:29:00,39.441367744898336,41.68945155628928,35.641889427205754
39.60714721679688,2019-06-21 10:30:00,38.98922712597581,41.69485343204861,35.93914175637068
39.45646286010742,2019-06-21 10:31:00,39.29789787797763,41.65454213454403,36.210630265329065
39.319068908691406,2019-06-21 10:32:00,39.68583748730493,41.54983836137482,36.05516360753157
39.43909072875977,2019-06-21 10:33:00,39.00133884989705,41.55082442809138,36.459464877482006
